Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Date Completed),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Review proposed PR for alert ingestion,T0085-31,20017,Story,Done,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,Done,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,24/Nov/25 11:03 AM,07/Jan/26 8:06 AM,07/Jan/26 10:34 AM,16/Dec/25 9:21 AM,,0,,,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ac2c7e1,,,,,,{},,,,,,,,,,,,0|i00jkr:i,,,,,,TCM Sprint 1,,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10127_*:*_1_*:*_50024,,,,19845,T0085-2,Data Model & Case Management Database,Done,16/Dec/25 9:21 AM
Post-deployment support,T0085-30,19873,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:58 PM,07/Jan/26 10:25 AM,,,30/Jan/26 12:00 AM,0,"* As a Product Owner
* I want a short period of focused support after go-live (4 weeks)
* So that any early issues are quickly resolved.
* Acceptance criteria
** 28-day post-deployment support window defined (matching work package).
** Process for raising/triaging production issues agreed.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52ad7241,,,,,,{},,,,,,,,,,,,0|i00jlb:i,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19848,T0085-5,UAT & Handover,To Do,19/Nov/25 9:58 PM
Deployment pipeline updates,T0085-29,19872,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:57 PM,07/Jan/26 10:25 AM,,,09/Jan/26 12:00 AM,0,"* As a platform engineer
* I want CI/CD updated for the new module
* So that deployments to dev and prod are consistent.
* Acceptance criteria
** Build includes Case Management UI and API services.
** DB migrations run as part of deployment.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dd7b1ce,,,,,,{},,,,,,,,,,,,0|i00jla:,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19848,T0085-5,UAT & Handover,To Do,19/Nov/25 9:57 PM
Regression testing of existing FRP functionality,T0085-28,19871,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:56 PM,07/Jan/26 10:25 AM,,,09/Jan/26 12:00 AM,0,"* As a system owner
* I want assurance that existing features still work
* So that introducing Case Management does not break the portal.
* Acceptance criteria
** Regression pack identified for critical FRP flows.
** Pack executed in staging before release.
** Any regressions raised and fixed before go-live.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ba36dd4,,,,,,{},,,,,,,,,,,,0|i00jl8:i,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19848,T0085-5,UAT & Handover,To Do,19/Nov/25 9:56 PM
UAT with Porterbrook engineers,T0085-27,19870,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:55 PM,07/Jan/26 10:25 AM,,,16/Jan/26 12:00 AM,0,"* As a Product Owner
* I want structured UAT sessions
* So that the feature is validated by real users.
* Acceptance criteria
** UAT plan prepared covering IDs 1–4 from work package.
** Feedback captured, triaged into defects vs change requests.
** Up to 2 iterations of agreed in-scope changes delivered.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@507c3ed3,,,,,,{},,,,,,,,,,,,0|i00jl8:9,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19848,T0085-5,UAT & Handover,To Do,19/Nov/25 9:55 PM
Automated tests for APIs & UI,T0085-26,19869,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:54 PM,07/Jan/26 10:25 AM,,,09/Jan/26 12:00 AM,0,"* As a dev team
* We want automated tests
* So that we can catch regressions early.
* Acceptance criteria
** Unit tests for services.
** API tests for main endpoints (incl. permissions).
** UI tests for core flows: filter, create, edit, close case.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f3c376c,,,,,,{},,,,,,,,,,,,0|i00jl8:,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19848,T0085-5,UAT & Handover,To Do,19/Nov/25 9:54 PM
"Implement “Boost Pressure Tracker”, “Air Leaks”, “Coolant Temperature” panels",T0085-24,19867,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:45 PM,07/Jan/26 10:25 AM,,,09/Jan/26 12:00 AM,0,"* As a reliability engineer
* I want key diagnostic charts for the selected filters
* So that I can quickly see patterns linked to cases.
* Acceptance criteria
** Three panels implemented per mock-up (even if initially simple charts).
** Panels query Databricks for aggregated metrics for filtered fleet + subsystem.
** Empty states when data is unavailable.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54617fdf,,,,,,{},,,,,,,,,,,,0|i00jkv:03v,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,To Do,19/Nov/25 9:45 PM
Visual state & accessibility for train filter (if budget allows),T0085-23,19866,Story,ON HOLD,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:44 PM,07/Jan/26 8:07 AM,07/Jan/26 8:06 AM,,12/Dec/25 12:00 AM,0,"{color:#ff5630}THIS CARD SHOULD ONLY BE ACTIONED IF THERE IS BUDGET REMAINING{color}

* As a user with accessibility needs
* I want the train filter to be keyboard-navigable and understandable
* So that I can use it without a mouse and with assistive tech.
* Acceptance criteria
** Focus states, ARIA labels and tooltips for each subsystem.
** Keyboard navigation cycles hotspots.
** Works alongside traditional dropdown for subsystem so the feature is not “image-only”.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fe77a58,,,,,,{},,,,,,,,,,,,0|i00jl5:,,,,,,,,,,,,,,,,,,,,,,19846,T0085-3,Graphical Drilldown,In Progress,07/Jan/26 8:07 AM
Wire train hotspots to filters,T0085-22,19865,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:40 PM,07/Jan/26 8:48 AM,07/Jan/26 8:47 AM,,12/Dec/25 12:00 AM,0,"* As a user
* I want clicking a subsystem to filter the grid and dashboards
* So that I see only cases relevant to that subsystem.
* Acceptance criteria
** Clicking a hotspot sets the subsystem filter and UI shows which subsystem is active.
** Deselection behaviour defined (e.g. click again to clear).
** Integration tests verify correct query params when different subsystems selected.

!image-20260107-084801.png|width=694,alt=""image-20260107-084801.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 8:48 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-084801.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11663,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b1ab2cb,,,,,,{},,,,,,,,,,,,0|i00jkr:,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19846,T0085-3,Graphical Drilldown,In Progress,07/Jan/26 8:06 AM
Design clickable train schematic,T0085-21,19864,Story,Done,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,Done,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:38 PM,07/Jan/26 8:47 AM,07/Jan/26 8:46 AM,12/Dec/25 9:24 AM,12/Dec/25 12:00 AM,0,"* As a user
* I want to click on parts of a train image
* So that I can filter cases by subsystem visually.
* Acceptance criteria
** SVG (or vector) train image created with defined hotspot regions (e.g. engine, HVAC, doors, UAT, brakes, bogies) based on concept design.
** Subsystem taxonomy agreed and mapped to each hotspot.
** Responsive design tested on common resolutions.

!image-20260107-084702.png|width=694,alt=""image-20260107-084702.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 8:47 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-084702.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11662,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b5da3e5,,,,,,{},,,,,,,,,,,,0|i00jkq:,,,,,,TCM Sprint 1,,,,,,,,,,,,10127_*:*_1_*:*_1943118977_*|*_10126_*:*_1_*:*_0,,,,19846,T0085-3,Graphical Drilldown,Done,12/Dec/25 9:24 AM
